ID,이름,등급,원가,후원금,구독자,레시피,요리설명
DS_01,식빵,기본,50,100,20,빵×1,
DS_02,삶은계란,기본,60,120,25,계란×1,
DS_03,흰쌀밥,기본,70,140,30,밥×1,
DS_04,계란프라이,초급,140,240,45,계란×1 + 버터×1,
DS_05,감자튀김,초급,220,340,60,감자×2 + 버터×1,
DS_06,계란토스트,초급,240,480,90,빵×2 + 계란×1 + 버터×1,
DS_07,치즈토스트,초급,300,650,120,빵×2 + 치즈×1 + 버터×1,
DS_08,계란볶음밥,중급,190,400,75,밥×1 + 계란×2,
DS_09,감자샐러드,중급,200,430,80,감자×2 + 계란×1,
DS_10,카레라이스,중급,250,560,105,밥×1 + 카레×1,
DS_11,샌드위치,중급,270,620,115,빵×2 + 양상추×1 + 토마토×1,
DS_12,제육덮밥,중급,490,1250,220,밥×1 + 베이컨×2 + 버터×1,
DS_13,핫도그,중급,490,1150,200,빵×1 + 소시지×2,
DS_14,햄치즈토스트,중급,560,1350,240,빵×2 + 치즈×1 + 베이컨×2,
DS_15,토마토파스타,고급,420,1300,230,면×2 + 토마토×2 + 버터×1,
DS_16,크림파스타,고급,480,1500,260,면×2 + 치즈×2 + 버터×1,
DS_17,베이컨파스타,고급,580,1600,290,면×2 + 베이컨×2 + 버터×1,
DS_18,불고기덮밥,고급,650,1750,300,밥×1 + 패티×2 + 버터×1,
DS_19,햄버거,고급,680,2200,380,빵×2 + 패티×2 + 양상추×1,
DS_20,치즈버거,고급,840,2850,490,빵×2 + 패티×2 + 치즈×2,
DS_21,셰프 스페셜 정식,셰프,930,6000,1050,불고기덮밥×1 + 계란프라이×2,
DS_22,셰프 브런치 세트,셰프,1040,6200,1100,햄치즈토스트×1 + 감자샐러드×1 + 계란프라이×2,
DS_23,셰프 시그니처 버거,셰프,1200,6500,1200,햄버거×1 + 치즈토스트×1 + 감자튀김×1,
DS_24,셰프 디럭스 파스타,셰프,1480,7200,1300,크림파스타×1 + 베이컨파스타×1 + 토마토파스타×1,
DS_25,셰프 스페셜 플래터,셰프,3610,10000,1800,셰프 시그니처 버거×1 + 셰프 스페셜 정식×1 + 셰프 디럭스 파스타×1,
